District,Soil_Type,Crop_Name,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Zn_kg_ha,S_kg_ha,Recommended_pH,Turbidity_NTU,Water_Temp_C,Weather,Fertilizer
Parbhani,Black,Soybean,36.5,78.9,54.2,2.4,18.4,8.1,10.3,37.7,Dry,Superphosphate
Aurangabad,Black,Chickpea,19.4,42.3,33.4,4.9,14.5,8.3,8.8,30.4,Dry,Urea
Amravati,Black,Soybean,24.2,75.1,52.2,4.63,19.7,8.4,8.7,26.5,Post-Monsoon,NPK 12:32:16
Jalna,Black,Sorghum,66.0,45.9,44.6,5.61,12.5,7.7,17.3,34.5,Dry,Vermicompost
Aurangabad,Black,Soybean,33.5,71.0,51.1,4.3,23.0,7.6,10.2,28.6,Summer,DAP
Parbhani,Black,Cotton,107.6,37.8,66.3,4.88,23.5,7.3,18.9,35.1,Dry,Urea
Raigad,Laterite,Coconut,753.4,545.7,1597.7,8.91,44.7,5.5,5.6,25.8,Post-Monsoon,DAP
Beed,Black,Bajra,63.2,33.5,43.3,3.0,15.8,7.1,19.3,30.2,Semi-Arid,Complex Fertilizer
Parbhani,Black,Cotton,119.6,47.5,47.5,4.04,20.1,7.1,13.6,32.3,Semi-Arid,NPK 19:19:19
Palghar,Laterite,Coconut,767.2,470.4,1389.0,13.65,28.8,5.4,4.5,27.1,Monsoon,DAP
Buldhana,Black,Cotton,130.7,46.9,53.0,4.8,19.6,7.4,6.3,27.2,Moderate Rainfall,NPK 19:19:19
Kolhapur,Alluvial,Turmeric,154.1,77.6,86.0,3.77,31.2,7.5,8.3,29.5,Post-Monsoon,Organic Compost
Latur,Black,Sorghum,79.2,47.4,55.2,4.05,11.3,7.3,8.1,36.0,Dry,Ammonium Sulphate
Osmanabad,Red,Sorghum,112.0,57.0,49.1,3.27,10.2,6.1,12.5,36.8,Post-Monsoon,Urea
Gadchiroli,Black,Wheat,111.4,62.8,60.3,4.24,21.4,8.0,10.2,27.7,Winter,NPK 12:32:16
Nanded,Black,Soybean,32.2,80.0,44.8,3.54,21.1,7.1,19.0,32.8,Summer,NPK 12:32:16
Raigad,Laterite,Rice,132.9,77.9,59.2,5.93,14.2,6.3,3.3,29.4,Humid,DAP
Mumbai Suburban,Red,Rice,114.0,69.9,59.1,3.96,11.4,6.8,4.2,28.8,Heavy Rainfall,NPK 12:32:16
Satara,Red,Sorghum,96.0,53.1,47.3,4.22,15.2,6.9,6.3,27.9,Moderate Rainfall,Superphosphate
Nashik,Black,Sugarcane,259.8,94.2,199.5,9.0,46.1,7.1,7.4,27.9,Winter,Complex Fertilizer
Mumbai Suburban,Laterite,Rice,137.4,74.7,68.8,4.68,13.0,6.3,4.1,30.0,Monsoon,Urea
Yavatmal,Red,Wheat,125.4,64.2,61.1,3.42,20.4,6.8,3.5,30.3,Monsoon,DAP
Aurangabad,Black,Pomegranate,75.2,65.4,93.9,8.06,24.5,7.2,10.0,34.3,Summer,Superphosphate
Mumbai City,Laterite,Vegetables,155.5,98.7,105.8,4.41,25.1,6.4,6.3,28.2,Humid,DAP
Jalna,Black,Sorghum,74.1,39.8,45.0,4.67,17.4,7.9,19.0,32.9,Dry,Complex Fertilizer
Mumbai Suburban,Laterite,Vegetables,170.1,90.7,114.5,4.88,28.4,5.8,6.1,31.5,Monsoon,Complex Fertilizer
Akola,Black,Soybean,34.0,61.1,51.7,5.02,17.3,7.3,8.9,33.9,Monsoon,DAP
Nashik,Black,Sorghum,87.6,46.7,53.1,4.7,19.2,7.9,11.8,34.7,Moderate Rainfall,Organic Compost
Hingoli,Sandy,Bajra,90.1,34.1,42.5,4.93,11.6,6.1,15.2,35.7,Post-Monsoon,Urea
Jalgaon,Black,Banana,197.5,110.4,314.1,7.79,25.7,8.2,7.4,32.7,Monsoon,DAP
Palghar,Laterite,Rice,137.1,67.8,73.3,4.54,19.0,5.2,3.6,29.1,Heavy Rainfall,Urea
Buldhana,Black,Cotton,83.8,40.6,59.4,2.64,27.4,7.7,5.8,34.1,Post-Monsoon,DAP
Aurangabad,Black,Soybean,29.8,59.8,44.4,4.66,20.2,7.7,8.2,33.9,Post-Monsoon,NPK 12:32:16
Jalna,Black,Wheat,103.9,53.7,60.5,4.7,18.3,7.5,13.6,28.1,Semi-Arid,DAP
Dhule,Red,Cotton,158.6,71.1,63.0,5.48,20.1,6.6,5.8,30.8,Moderate Rainfall,Urea
Chandrapur,Black,Pigeon Pea,23.6,58.9,35.2,4.55,16.1,7.6,8.3,28.9,Post-Monsoon,MOP
Osmanabad,Black,Bajra,54.6,32.5,36.7,3.14,16.4,7.2,19.2,29.7,Summer,Superphosphate
Thane,Laterite,Vegetables,180.6,89.4,107.4,4.07,31.7,5.7,3.1,29.9,Heavy Rainfall,NPK 12:32:16
Gadchiroli,Red,Soybean,44.6,96.7,56.6,3.55,14.6,5.6,9.0,27.0,Moderate Rainfall,NPK 12:32:16
Hingoli,Black,Cotton,109.9,53.5,61.7,5.2,20.0,7.4,9.4,35.1,Dry,DAP
Osmanabad,Red,Bajra,78.1,37.3,39.6,3.56,12.2,6.6,16.4,37.5,Dry,Complex Fertilizer
Thane,Laterite,Rice,144.2,78.6,62.0,5.37,15.2,5.5,2.2,28.8,Heavy Rainfall,Urea
Dhule,Alluvial,Wheat,99.8,52.8,50.2,2.64,23.2,7.1,3.8,31.9,Moderate Rainfall,DAP
Nagpur,Black,Soybean,28.2,69.8,52.6,3.16,21.4,8.1,10.2,33.2,Post-Monsoon,Superphosphate
Ahmednagar,Black,Cotton,101.9,47.4,52.4,4.37,22.3,7.8,8.8,34.3,Moderate Rainfall,NPK 19:19:19
Thane,Laterite,Rice,123.6,66.5,64.5,3.48,22.3,5.1,6.8,25.4,Humid,Urea
Jalna,Red,Bajra,73.2,43.6,39.6,4.94,14.9,6.2,12.8,37.3,Dry,NPK 12:32:16
Chandrapur,Black,Soybean,33.5,74.9,48.0,4.56,20.0,7.9,5.4,34.6,Moderate Rainfall,Superphosphate
Amravati,Black,Cotton,119.7,53.5,60.5,3.44,20.3,7.1,10.1,33.7,Post-Monsoon,Complex Fertilizer
Yavatmal,Black,Cotton,124.6,54.8,57.0,2.95,26.9,7.5,6.9,34.3,Monsoon,Complex Fertilizer
Bhandara,Black,Rice,103.3,55.5,63.1,3.48,14.5,7.1,6.6,28.2,Winter,Urea
Nashik,Black,Onion,142.6,77.3,90.9,3.31,26.0,7.4,5.7,29.6,Winter,DAP
Beed,Black,Soybean,33.9,67.6,52.0,5.51,20.6,8.2,8.4,29.2,Semi-Arid,Superphosphate
Nashik,Alluvial,Grapes,127.7,51.1,105.9,5.82,22.8,7.3,11.8,29.8,Moderate Rainfall,NPK 19:19:19
Washim,Clay,Pomegranate,106.1,46.1,115.7,8.31,25.3,7.1,9.9,28.0,Moderate Rainfall,Ammonium Sulphate
Solapur,Sandy,Wheat,126.6,62.8,57.8,3.61,21.6,6.5,4.1,26.7,Moderate Rainfall,Urea
Washim,Black,Pomegranate,94.7,60.8,109.6,6.22,34.3,8.2,4.8,32.3,Monsoon,Ammonium Sulphate
Mumbai City,Red,Rice,103.0,60.1,63.4,3.08,18.1,6.4,4.7,27.4,Heavy Rainfall,DAP
