District,Soil_Type,Crop_Name,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Zn_kg_ha,S_kg_ha,Recommended_pH,Turbidity_NTU,Water_Temp_C,Weather,Fertilizer
Jalna,Red,Cotton,124.9,71.7,73.3,3.7,18.9,6.5,10.2,30.9,Semi-Arid,Urea
Nagpur,Red,Cotton,137.0,61.1,58.3,3.4,19.7,6.0,6.3,32.0,Moderate Rainfall,DAP
Akola,Black,Cotton,133.9,67.4,53.0,2.7,18.8,8.5,10.7,28.5,Winter,Urea
Nandurbar,Black,Cotton,131.5,49.2,46.1,4.3,22.1,8.2,6.2,31.4,Moderate Rainfall,Urea
Sangli,Alluvial,Sugarcane,229.6,100.2,165.6,4.6,30.6,7.1,10.0,33.9,Moderate Rainfall,Urea
Ratnagiri,Laterite,Rice,137.7,77.8,69.0,5.4,11.3,5.4,5.6,30.4,Humid,NPK 12:32:16
Nashik,Black,Onion,131.9,68.2,100.5,3.0,27.3,7.7,6.4,29.9,Winter,DAP
Gadchiroli,Clay,Rice,105.7,47.0,54.3,3.0,17.0,6.7,12.0,26.5,Monsoon,DAP
Latur,Black,Sorghum,80.7,48.2,43.2,4.2,13.3,7.2,16.3,34.2,Semi-Arid,Superphosphate
Gadchiroli,Clay,Rice,106.4,60.5,58.2,3.2,15.0,6.5,10.3,29.8,Monsoon,DAP
Bhandara,Clay,Rice,113.8,55.3,51.5,4.9,19.4,6.7,6.2,34.4,Monsoon,NPK 12:32:16
Chandrapur,Black,Cotton,118.7,45.4,54.8,3.3,20.5,7.7,5.4,28.9,Moderate Rainfall,DAP
Gadchiroli,Clay,Rice,128.8,53.1,68.7,3.5,15.7,7.1,5.4,31.9,Post-Monsoon,DAP
Bhandara,Clay,Rice,90.5,53.6,41.9,3.8,22.0,8.1,5.0,28.5,Winter,Urea
Solapur,Red,Maize,167.9,91.1,50.8,3.6,24.0,6.6,9.5,32.9,Winter,Complex Fertilizer
Nandurbar,Black,Cotton,145.3,56.7,64.5,4.2,23.2,7.8,5.3,33.7,Monsoon,NPK 19:19:19
Hingoli,Black,Sorghum,66.8,43.6,52.7,4.2,22.8,7.0,13.1,33.0,Semi-Arid,Vermicompost
Ratnagiri,Sandy,Coconut,605.1,443.2,1423.4,9.6,27.0,6.6,7.9,27.3,Heavy Rainfall,Ammonium Sulphate
Wardha,Black,Cotton,110.9,59.8,39.9,5.8,16.8,7.3,5.2,28.2,Post-Monsoon,Urea
Bhandara,Black,Soybean,32.2,72.7,56.5,4.5,19.7,7.4,10.6,26.8,Moderate Rainfall,Superphosphate
Yavatmal,Clay,Cotton,159.5,52.7,41.0,4.6,21.2,7.2,6.3,25.4,Post-Monsoon,DAP
Sindhudurg,Laterite,Rice,142.2,85.5,64.2,4.5,24.0,6.1,6.8,25.0,Humid,DAP
Amravati,Clay,Soybean,36.3,56.4,49.3,3.9,19.5,7.6,8.9,33.4,Winter,DAP
Solapur,Sandy,Wheat,126.9,61.5,68.0,4.5,18.7,6.1,6.1,34.1,Post-Monsoon,NPK 12:32:16
Gadchiroli,Clay,Wheat,120.0,67.6,51.0,3.8,15.2,6.9,10.2,31.8,Moderate Rainfall,Urea
