District,Soil_Type,Crop_Name,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Zn_kg_ha,S_kg_ha,Recommended_pH,Turbidity_NTU,Water_Temp_C,Weather,Fertilizer
Bhandara,Black,Soybean,34.7,77.2,64.6,5.5,18.5,7.1,9.7,29.1,Moderate Rainfall,Superphosphate
Beed,Black,Cotton,107.7,51.2,40.5,2.7,22.1,7.6,8.8,32.3,Semi-Arid,NPK 19:19:19
Yavatmal,Red,Cotton,120.4,73.4,40.6,3.9,28.0,6.1,6.8,30.1,Post-Monsoon,Urea
Aurangabad,Red,Cotton,155.9,49.7,51.9,4.7,26.9,5.6,17.1,38.0,Semi-Arid,Complex Fertilizer
Wardha,Black,Cotton,87.3,53.2,46.6,5.8,18.3,7.0,5.6,30.2,Post-Monsoon,Urea
Chandrapur,Clay,Rice,111.8,56.9,47.4,3.7,13.1,6.7,7.8,26.5,Monsoon,Urea
Ahmednagar,Clay,Sugarcane,265.8,91.8,142.8,6.8,39.0,6.4,3.7,33.0,Moderate Rainfall,Complex Fertilizer
Nagpur,Black,Cotton,80.9,30.7,66.8,6.4,25.6,7.8,2.8,26.4,Moderate Rainfall,NPK 19:19:19
Amravati,Clay,Cotton,38.1,63.2,37.6,4.3,22.5,7.8,13.8,29.3,Moderate Rainfall,NPK 12:32:16
Sangli,Black,Sugarcane,205.1,95.5,239.5,7.3,27.2,7.7,12.4,33.3,Moderate Rainfall,Complex Fertilizer
Pune,Black,Sugarcane,221.4,116.3,196.7,6.1,28.9,7.6,3.2,34.9,Moderate Rainfall,DAP
Thane,Sandy,Vegetables,136.3,59.1,61.1,4.9,21.4,6.6,2.7,26.5,Post-Monsoon,NPK 12:32:16
Osmanabad,Sandy,Bajra,100.0,53.8,53.2,2.8,10.7,6.6,19.7,29.9,Semi-Arid,DAP
Ratnagiri,Sandy,Coconut,728.4,434.8,1373.0,10.5,27.7,6.8,6.4,25.0,Heavy Rainfall,Ammonium Sulphate
Jalna,Red,Cotton,113.8,61.9,73.6,4.5,17.5,6.6,7.6,35.0,Semi-Arid,Urea
Pune,Alluvial,Sugarcane,283.3,98.1,129.1,7.6,31.1,6.9,10.4,31.6,Moderate Rainfall,Complex Fertilizer
Dhule,Black,Sugarcane,112.5,36.6,53.5,4.4,20.9,8.4,11.9,31.1,Moderate Rainfall,NPK 19:19:19
Ahmednagar,Black,Cotton,266.6,71.7,210.9,7.7,29.0,8.1,7.0,36.8,Post-Monsoon,NPK 19:19:19
Parbhani,Black,Cotton,77.6,56.7,60.8,5.0,18.1,8.2,10.4,36.9,Semi-Arid,Ammonium Sulphate
Jalgaon,Red,Cotton,191.1,157.7,265.0,7.7,40.5,6.8,6.1,33.7,Monsoon,DAP
Osmanabad,Black,Sorghum,66.3,47.6,60.3,2.3,20.3,7.4,20.2,36.1,Dry,NPK 12:32:16
Ratnagiri,Red,Mango,216.0,91.4,180.1,9.4,22.8,5.7,3.6,26.9,Heavy Rainfall,Vermicompost
Buldhana,Clay,Wheat,118.3,70.6,73.7,2.8,15.5,7.3,7.6,28.6,Post-Monsoon,DAP
Ratnagiri,Laterite,Rice,129.4,76.5,64.6,5.0,10.8,6.4,5.4,30.4,Heavy Rainfall,DAP
Wardha,Red,Cotton,92.4,61.1,56.7,2.6,16.0,5.6,9.5,28.2,Moderate Rainfall,DAP
Nagpur,Black,Chickpea,99.6,57.9,49.9,3.1,23.0,7.8,8.3,28.1,Winter,NPK 19:19:19
Nagpur,Red,Cotton,118.3,51.6,60.0,5.8,27.2,5.5,6.2,25.0,Monsoon,DAP
Bhandara,Red,Soybean,30.1,73.5,58.1,2.5,16.8,6.3,4.5,26.7,Monsoon,Superphosphate
Kolhapur,Black,Grapes,181.9,73.9,191.4,10.1,31.8,7.6,5.1,29.1,Winter,Complex Fertilizer
Nagpur,Clay,Wheat,109.9,52.5,52.6,3.9,20.6,6.8,5.7,34.1,Moderate Rainfall,Urea
Yavatmal,Red,Cotton,176.1,68.2,39.6,4.8,16.5,6.0,7.5,30.5,Moderate Rainfall,DAP
Wardha,Clay,Cotton,114.9,41.9,48.3,4.2,15.2,7.2,4.7,34.5,Monsoon,DAP
Pune,Alluvial,Cotton,263.1,76.5,199.5,11.7,30.2,7.2,5.2,28.5,Post-Monsoon,NPK 19:19:19
Gondia,Black,Chickpea,27.0,60.7,51.1,4.2,18.7,7.2,12.3,25.0,Winter,Superphosphate
Mumbai City,Laterite,Rice,133.0,75.0,57.8,4.2,22.2,5.9,6.3,26.4,Monsoon,NPK 12:32:16
Mumbai City,Red,Rice,112.3,68.0,55.9,2.8,19.5,6.6,3.9,26.3,Heavy Rainfall,DAP
Sindhudurg,Sandy,Vegetables,726.4,352.7,1831.1,8.8,29.2,5.9,8.5,25.0,Heavy Rainfall,Superphosphate
Bhandara,Black,Cotton,28.1,54.6,49.5,2.9,15.9,8.1,3.2,33.6,Monsoon,NPK 12:32:16
Jalgaon,Red,Vegetables,150.4,74.2,54.7,4.5,19.5,6.8,7.3,33.5,Winter,NPK 19:19:19
Sangli,Red,Soybean,174.3,78.9,54.5,3.2,18.8,6.8,9.4,31.1,Moderate Rainfall,Ammonium Sulphate
Jalgaon,Red,Cotton,242.9,149.6,294.8,7.4,31.8,6.9,5.6,32.2,Monsoon,DAP
Solapur,Sandy,Vegetables,117.0,75.8,57.3,4.2,19.0,6.3,6.3,35.8,Post-Monsoon,NPK 12:32:16
Pune,Black,Wheat,173.2,111.1,200.8,5.4,29.5,7.4,3.0,33.7,Moderate Rainfall,DAP
Raigad,Red,Rice,118.2,82.0,71.8,3.9,18.4,6.5,8.0,33.3,Humid,Urea
Parbhani,Black,Sorghum,70.8,49.8,59.9,4.0,22.6,8.2,10.5,33.6,Semi-Arid,Ammonium Sulphate
Thane,Sandy,Coconut,96.0,62.9,77.7,4.0,25.4,7.2,5.1,33.0,Heavy Rainfall,DAP
Buldhana,Black,Chickpea,131.1,56.9,49.3,5.1,15.7,8.0,9.2,27.2,Winter,NPK 19:19:19
Chandrapur,Black,Wheat,113.0,39.5,47.8,3.1,23.1,7.4,3.9,26.0,Moderate Rainfall,DAP
Jalgaon,Red,Vegetables,164.4,63.5,52.8,4.9,29.7,5.2,6.6,28.4,Post-Monsoon,Complex Fertilizer
Wardha,Clay,Cotton,109.3,41.4,61.2,3.9,18.3,7.8,6.5,31.3,Monsoon,DAP
Amravati,Red,Cotton,32.3,63.3,31.5,4.8,18.7,7.1,7.3,28.1,Moderate Rainfall,Ammonium Sulphate
Pune,Red,Cotton,114.8,85.0,71.7,3.8,18.4,6.0,5.6,27.3,Post-Monsoon,DAP
Satara,Black,Sugarcane,240.4,134.3,185.0,7.7,29.3,7.5,8.1,25.2,Moderate Rainfall,NPK 19:19:19
Kolhapur,Red,Cotton,277.1,124.1,214.0,7.1,24.1,6.2,9.2,34.3,Moderate Rainfall,DAP
Mumbai Suburban,Red,Mango,129.0,76.7,67.5,4.0,11.8,7.1,3.8,28.5,Heavy Rainfall,NPK 12:32:16
Beed,Red,Cotton,118.5,77.4,57.6,4.5,21.6,5.9,18.4,36.2,Post-Monsoon,NPK 19:19:19
Solapur,Red,Cotton,128.9,46.5,56.1,2.8,19.2,6.0,12.4,32.4,Moderate Rainfall,NPK 19:19:19
Raigad,Laterite,Rice,134.6,62.3,68.9,4.3,18.3,5.6,8.7,27.4,Heavy Rainfall,Urea
Nagpur,Black,Cotton,151.7,50.0,46.4,4.5,27.5,7.4,10.9,31.3,Monsoon,NPK 19:19:19
Hingoli,Sandy,Bajra,98.2,38.0,38.7,4.0,11.9,6.8,15.9,35.0,Dry,MOP
Palghar,Sandy,Coconut,143.2,82.9,96.8,3.2,20.7,5.9,2.7,25.0,Heavy Rainfall,MOP
Jalgaon,Alluvial,Wheat,124.0,46.2,47.0,3.5,14.4,6.8,12.4,33.9,Winter,DAP
Akola,Clay,Soybean,29.1,72.6,35.0,3.3,21.1,7.7,9.7,30.5,Monsoon,NPK 12:32:16
Parbhani,Sandy,Bajra,88.0,45.7,33.4,5.0,16.3,6.2,14.6,38.0,Semi-Arid,MOP
Buldhana,Clay,Soybean,33.9,76.6,50.7,4.6,22.8,7.5,10.8,33.0,Monsoon,NPK 12:32:16
Mumbai Suburban,Sandy,Vegetables,138.1,74.1,116.7,3.6,21.1,7.1,3.0,25.6,Post-Monsoon,Ammonium Sulphate
Gadchiroli,Clay,Rice,142.5,56.2,63.6,3.4,18.3,6.2,9.5,29.0,Monsoon,DAP
Pune,Red,Cotton,105.2,59.9,89.0,5.4,30.0,5.9,8.5,29.2,Moderate Rainfall,Organic Compost
Beed,Sandy,Bajra,89.7,40.0,41.7,2.7,11.6,7.3,16.7,33.9,Semi-Arid,NPK 12:32:16
Raigad,Laterite,Coconut,98.0,76.5,75.3,4.7,8.3,5.8,4.2,25.0,Monsoon,Urea
Yavatmal,Clay,Wheat,167.2,52.8,42.8,4.5,21.5,7.4,4.8,26.9,Post-Monsoon,DAP
Hingoli,Black,Sorghum,72.0,47.5,40.2,3.7,18.0,7.9,9.9,32.4,Summer,DAP
